cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
La Retorta,https://www.cheese.com/la-retorta/,sheep,Spain,,Blue,"soft, semi-soft",33.30%,573.7 mg/100g,"creamy, runny",,pale yellow,creamy,,,,,,
La Serena,https://www.cheese.com/la-serena/,sheep,Spain,Extremadura,Blue,soft,29.40%,576.8 mg/100g,"creamy, spreadable",washed,straw,"bitter, full-flavored, sharp, strong","pleasant, strong",TRUE,FALSE,,"Torta La Serena, Queso de la Serena, Torta de la Serena",
LaClare Ziege Zacke Blue,https://www.cheese.com/laclare-ziege-zacke-blue/,"cow, goat",United States,Wisconsin,Blue,"semi-hard, blue-veined",30.30%,589.8 mg/100g,"creamy, firm",natural,cream,"creamy, spicy, sweet, tangy","earthy, rich",FALSE,FALSE,Ziege Zacke Blue,,LaClare Farms
Lanark Blue,https://www.cheese.com/lanark-blue/,sheep,Scotland,,Blue,"semi-soft, artisan, blue-veined",30.60%,549.1 mg/100g,"brittle, grainy",,,,,TRUE,FALSE,,,Errington Cheese Ltd.
Laruns,https://www.cheese.com/laruns/,sheep,France,Laruns,Blue,"soft, artisan",30.70%,594.8 mg/100g,"brittle, firm, supple",natural,straw,"acidic, mild, nutty, salty, sweet",mild,FALSE,FALSE,,,
Latteria San Biagio,https://www.cheese.com/latteria-san-biagio/,cow,Italy,Veneto,Blue,"soft, artisan",28.10%,516.7 mg/100g,creamy,natural,white,"acidic, sweet",subtle,FALSE,FALSE,,,La Casearia Carpenedo S.r.l.
Laura Chenel's Cabecou,https://www.cheese.com/laura-chenels-cabecou/,goat,United States,California,Blue,fresh firm,29.20%,588.9 mg/100g,"creamy, dense, smooth",rindless,cream,"creamy, mild, nutty","mild, nutty, rich",,,,,Laura Chenel's Chevre
Le Brin,https://www.cheese.com/le-brin/,cow,France,Rhone-Alps,Blue,"semi-soft, artisan",31.30%,542.3 mg/100g,"creamy, spreadable",washed,white,"buttery, sweet","aromatic, nutty, yeasty",TRUE,FALSE,,,Fromagerie GUILLOTEAU
Le Chevrot,https://www.cheese.com/le-chevrot/,goat,France,Loire Valley,Blue,soft,30.20%,537.8 mg/100g,"creamy, dense, firm",mold ripened,cream,"herbaceous, nutty, strong","goaty, strong",FALSE,FALSE,,,SEVRE & BELLE
Lil Moo,https://www.cheese.com/lil-moo/,cow,United States,Georgia,Blue,soft,32.30%,539.6 mg/100g,"creamy, dense, spreadable",rindless,pale yellow,"creamy, smooth, sweet","fresh, grassy",,,,,Sweet Grass Dairy
Limburger,https://www.cheese.com/limburger/,cow,"Belgium, Germany, Netherlands",Duchy of Limburg,Blue,"semi-soft, smear-ripened",32.50%,574.6 mg/100g,"crumbly, firm, smooth",washed,straw,"grassy, mild, mushroomy",stinky,FALSE,FALSE,,Limburger Kase,
Lindy Hop,https://www.cheese.com/lindy-hop/,cow,United States,Vermont,Blue,"semi-soft, blue-veined",29.70%,516.5 mg/100g,creamy,natural,straw,"creamy, grassy, mild","rich, strong",FALSE,FALSE,,,Dancing Cow Farm
Little Ypsi,https://www.cheese.com/little-ypsi/,goat,United States,"Ann Arbor, Michigan",Blue,"semi-soft, artisan",32.30%,513.7 mg/100g,"buttery, firm",natural,ivory,buttery,buttery,FALSE,FALSE,,,Zingerman's Creamery
Livarot,https://www.cheese.com/livarot/,cow,France,,Blue,"soft, artisan",33.90%,578.8 mg/100g,creamy,washed,,full-flavored,"pungent, strong",FALSE,FALSE,,,
Lo Speziato,https://www.cheese.com/lo-speziato/,cow,Italy,"Treviso, Veneto",Blue,"soft, artisan",28.50%,530.9 mg/100g,compact,natural,ivory,"full-flavored, spicy",fresh,,,,,Moro Latteria di Moro Sergio
Lord of the Hundreds,https://www.cheese.com/lord-hundreds/,sheep,United Kingdom,East Sussex,Blue,"semi-hard, artisan",31.40%,566.9 mg/100g,"firm, grainy, open",natural,golden yellow,"burnt caramel, nutty, savory, sweet","grassy, sweet",TRUE,FALSE,,,Traditional Cheese Dairy
Lou Bergier Pichin,https://www.cheese.com/lou-bergier/,cow,Italy,Piemonte,Blue,"semi-soft, artisan",31.40%,552.3 mg/100g,"buttery, open, smooth",natural,brown,"creamy, floral, mushroomy","grassy, milky",TRUE,FALSE,Lou Bergier Pichin,,
Lyburn's Winchester,https://www.cheese.com/lyburns-winchester/,cow,"England, Great Britain, United Kingdom",Landford,Blue,"hard, artisan",31.10%,534.6 mg/100g,creamy,natural,brownish yellow,"creamy, nutty",,TRUE,FALSE,,,Lyburn Farm
Madrona,https://www.cheese.com/madrona/,goat,United States,Oregon,Blue,"semi-soft, artisan",28.90%,583.7 mg/100g,creamy,natural,ivory,mild,"fruity, herbal",,,,,Briar Rose Creamery
Maffra Red Leicester,https://www.cheese.com/maffra-red-leicester/,cow,Australia,"Gippsland, Victoria",Blue,"hard, artisan",33.40%,519.6 mg/100g,"buttery, creamy, dense, smooth",,brownish yellow,"creamy, mellow, smooth",,TRUE,FALSE,,,Maffra Cheese Company Pty Ltd
Magna,https://www.cheese.com/magna/,cow,Sweden,Oviken,Blue,"firm, artisan, blue-veined",31.40%,560.3 mg/100g,,mold ripened,ivory,"full-flavored, salty, sharp",,,,,,Oviken cheese
Majorero,https://www.cheese.com/majorero/,goat,Spain,Canary Islands,Blue,semi-hard,30.60%,548.3 mg/100g,"buttery, creamy",natural,pale white,acidic,"milky, nutty",FALSE,FALSE,"Queso Majorero, Queso Fuerteventura, Majorero PDO, Majorero DOP",,
Maredsous,https://www.cheese.com/maredsous/,cow,Belgium,,Blue,soft,28.60%,539.8 mg/100g,,,,,,FALSE,FALSE,,,
Margot,https://www.cheese.com/margotin/,cow,Italy,Piemonte,Blue,semi-soft,29.30%,558.3 mg/100g,firm,natural,cream,"bitter, full-flavored",,FALSE,FALSE,,,
Marisa,https://www.cheese.com/marisa/,sheep,United States,Wisconsin,Blue,"semi-soft, artisan",32.40%,577.7 mg/100g,"dense, firm",,white,"mellow, sweet",pleasant,TRUE,FALSE,,,Carr Valley Cheese Company
Matocq,https://www.cheese.com/matocq/,"cow, sheep",France,,Blue,"semi-hard, processed",32.70%,516.1 mg/100g,chewy,,cream,"acidic, nutty",nutty,FALSE,FALSE,,,
May Hill Green,https://www.cheese.com/may-hill-green/,cow,"England, Great Britain, United Kingdom",Gloucestershire,Blue,"semi-soft, artisan",28.00%,598.5 mg/100g,runny,leaf wrapped,cream,"creamy, milky",strong,TRUE,FALSE,,Mayhill Green,Charles Martell & Son Limited
Maytag Blue,https://www.cheese.com/maytag-blue/,cow,United States,Iowa,Blue,"semi-hard, blue-veined",30.10%,583.5 mg/100g,"crumbly, dense",rindless,cream,"lemony, savory, tangy","pungent, strong",,,,,Maytag Dairy Farms
Meredith Blue,https://www.cheese.com/meredith-blue/,sheep,Australia,"Ballarat, Victoria",Blue,"soft, semi-soft, artisan, blue-veined",28.10%,567.7 mg/100g,creamy,natural,blue,"mild, mushroomy, sweet","fresh, goaty",FALSE,FALSE,,,Meredith Dairy
Midnight Blue,https://www.cheese.com/midnight-blue/,goat,United States,Colorado,Blue,"semi-soft, blue-veined",32.70%,557.2 mg/100g,"dense, dry",natural,pale yellow,"pungent, sharp, spicy",goaty,TRUE,FALSE,,,Avalanche Cheese Company
Mihalic Peynir,https://www.cheese.com/mihalic-peynir/,sheep,Turkey,Bursa,Blue,"hard, artisan",33.20%,569.2 mg/100g,"crumbly, grainy, open",,pale yellow,salty,strong,TRUE,FALSE,,,
Milawa Aged Blue,https://www.cheese.com/milawa-aged-blue/,,,North East Victoria,Blue,,29.40%,548.2 mg/100g,,mold ripened,blue,,,,,,,
Milawa Blue,https://www.cheese.com/milawa-blue/,cow,Australia,North East Victoria,Blue,"soft, blue-veined",28.50%,547.6 mg/100g,creamy,mold ripened,blue,"buttery, creamy, sweet",rich,,,,,Milawa Cheese Company
Milawa White,https://www.cheese.com/milawa-white/,cow,Australia,,Blue,soft,29.20%,532.1 mg/100g,"creamy, open",,,sweet,,TRUE,FALSE,,,Milawa Cheese Company
Milbenkäse,https://www.cheese.com/milbenkase/,cow,Germany,,Blue,"semi-soft, smear-ripened",33.10%,524.3 mg/100g,firm,,,tangy,strong,FALSE,FALSE,"Milbenkäse, Mite Cheese",,
Mine-Gabhar,https://www.cheese.com/mine-gabhar/,goat,Ireland,County Wexford,Blue,"soft, artisan",33.60%,599.7 mg/100g,creamy,natural,white,"acidic, sweet","earthy, pungent",TRUE,FALSE,,,Luc and Anne Van Kampen
Mistralou,https://www.cheese.com/mistralou/,goat,France,,Blue,soft,28.30%,551.8 mg/100g,creamy,natural,white,creamy,floral,FALSE,FALSE,,,
Mobay,https://www.cheese.com/mobay/,"goat, sheep",United States,Wisconsin,Blue,"semi-soft, artisan",30.70%,539.5 mg/100g,"soft, supple",plastic,ivory,"earthy, sweet, tangy",goaty,TRUE,FALSE,,,Carr Valley Cheese Company
Monastery Cheeses,https://www.cheese.com/monastery-cheeses/,cow,"Belgium, Canada, France, Switzerland, United States",,Blue,"soft, semi-soft, brined",28.10%,509.5 mg/100g,"chalky, creamy, firm, grainy",washed,golden yellow,"mild, pungent","pungent, strong",FALSE,FALSE,"monastery, trappist cheese, monk cheese",,
Mondseer,https://www.cheese.com/mondseer/,cow,Austria,,Blue,semi-hard,29.00%,555.7 mg/100g,"creamy, smooth",washed,pale yellow,spicy,strong,,,,,
Mont D'or,https://www.cheese.com/mont-dor-lyonnais/,cow,France,,Blue,"semi-soft, artisan",28.80%,593.6 mg/100g,creamy,natural,,,"earthy, strong",,,Vacherin Mont D'or,Mont Dor,
Montagnolo,https://www.cheese.com/montagnolo/,cow,Germany,,Blue,"soft, blue-veined",31.60%,525.7 mg/100g,"creamy, smooth",natural,,creamy,"buttery, rich",,,Montagnolo Affine,,Käserei Champignon
Monte Enebro,https://www.cheese.com/monte-enebro/,goat,Spain,Avila,Blue,semi-soft,33.90%,518.5 mg/100g,smooth,,,"creamy, lemony","goaty, strong",FALSE,FALSE,"pata de mulo, mule’s-hoof cheese",,
Montsalvat,https://www.cheese.com/montsalvat/,cow,Germany,Landshut,Blue,"soft, blue-veined",28.10%,568.3 mg/100g,"creamy, soft",,ivory,"creamy, mild",,,,,,Bayerische Milchindustrie eG
Moody Blue,https://www.cheese.com/moody-blue/,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",33.40%,534.2 mg/100g,creamy,natural,pale yellow,"creamy, nutty, subtle, tangy","rich, smokey",TRUE,FALSE,,,Emmi Roth USA
Moose,https://www.cheese.com/moose/,moose,Sweden,Bjurholm,Blue,fresh soft,28.50%,504.1 mg/100g,"creamy, smooth",,,smooth,,,,,,Algens Hus
Morbier,https://www.cheese.com/morbier/,cow,France,,Blue,"semi-soft, artisan",29.60%,554.5 mg/100g,creamy,,ivory,citrusy,"fruity, grassy",FALSE,FALSE,"Morbier Cru de Montagne, Morbier AOP",,
Mothais a la Feuille,https://www.cheese.com/mothais-a-la-feuille/,goat,France,,Blue,"soft, artisan",28.10%,578.6 mg/100g,"creamy, soft",,,"lemony, woody",mushroom,FALSE,FALSE,"Le Mothais sur Feuille, Mothais",,
Muenster,https://www.cheese.com/muenster/,cow,United States,,Blue,"soft, processed",32.50%,547.3 mg/100g,smooth,,pale yellow,mild,"pungent, strong",,,,American Muenster,
Muffato,https://www.cheese.com/muffato/,cow,Italy,"Treviso, Veneto",Blue,"semi-firm, artisan",32.70%,594.8 mg/100g,flaky,,ivory,"full-flavored, grassy, herbaceous",herbal,,,,,Moro Latteria di Moro Sergio
Mun-chee,https://www.cheese.com/mun-chee/,cow,United States,"Richfield, Wisconsin",Blue,"semi-soft, processed",33.90%,579.3 mg/100g,"creamy, smooth",natural,pale yellow,"mild, sweet",mild,,,"Munchee, Sweet Munchee",,
Muranda Blue,https://www.cheese.com/muranda-blue/,cow,United States,NY,Blue,"semi-hard, blue-veined",32.20%,564.7 mg/100g,crumbly,natural,pale yellow,"salty, sharp, strong",strong,,,,,Muranda Cheese Company
Murol,https://www.cheese.com/murol/,cow,France,,Blue,"semi-soft, artisan",28.30%,575.2 mg/100g,"creamy, firm, springy",washed,ivory,"mild, milky, savory, sweet",aromatic,FALSE,FALSE,,"murolait, trou de murol",La Fromagerie du Grand Murols
Myzithra,https://www.cheese.com/myzithra/,"goat, sheep",Greece,,Blue,"soft, whey",29.10%,520.0 mg/100g,"creamy, crumbly, spreadable",,white,mild,,,,"Xinomizythra, Sour Mizythra, Mizythra, Fresh Mizythra, Mizithra, Dry Mizythra",,
Pannerone,https://www.cheese.com/pannerone/,cow,Italy,Lodi,Blue,"soft, semi-soft, artisan",32.80%,585.3 mg/100g,"creamy, grainy, open",natural,ivory,"bitter, buttery, smooth, sweet",rich,FALSE,FALSE,,,
Panquehue,https://www.cheese.com/panquehue/,cow,Chile,Aconcagua,Blue,"semi-soft, artisan",29.30%,598.1 mg/100g,"open, smooth",natural,cream,"creamy, nutty, savory, spicy",,TRUE,FALSE,,,Andes Cheese
Passendale,https://www.cheese.com/passendale/,cow,Belgium,Passendale,Blue,"semi-soft, soft-ripened",30.70%,586.9 mg/100g,creamy,natural,golden orange,mild,sweet,FALSE,FALSE,,,
Pave de Chirac,https://www.cheese.com/pave-de-chirac/,goat,France,Chirac,Blue,"soft, artisan",28.50%,587.7 mg/100g,"creamy, smooth",natural,ivory,mild,fresh,FALSE,FALSE,,,
Pembrokeshire Mature Cheddar,https://www.cheese.com/pembrokeshire-mature-cheddar/,cow,United Kingdom,Pembrokeshire,Blue,"semi-soft, artisan",32.10%,572.6 mg/100g,dense,,pale yellow,"smooth, tangy",strong,TRUE,FALSE,Mature Welsh Cheddar,,Pembrokeshire Cheese Company
Pencarreg,https://www.cheese.com/pencarreg/,cow,Great Britain,Wales,Blue,"soft, blue-veined",32.80%,507.9 mg/100g,creamy,natural,pale yellow,smooth,rich,FALSE,FALSE,,,
Pepper Jack,https://www.cheese.com/pepper-jack/,cow,United States,"Monterey, California",Blue,semi-soft,29.00%,508.8 mg/100g,"creamy, smooth",natural,cream,"herbaceous, spicy","aromatic, herbal",,,,,
Perl Las Blue,https://www.cheese.com/perl-las-blue/,cow,United Kingdom,,Blue,semi-soft,30.40%,524.8 mg/100g,creamy,,golden yellow,"creamy, salty",,,,,,
Picos de Europa,https://www.cheese.com/picos-de-europa/,cow,Spain,,Blue,"semi-soft, blue-veined",28.10%,521.0 mg/100g,creamy,,blue,"spicy, strong",,,,Picos Blue,,
Pied-de-vent,https://www.cheese.com/pied-de-vent/,cow,Canada,Quebec,Blue,"semi-soft, blue-veined",32.10%,519.6 mg/100g,"creamy, smooth",washed,cream,"mushroomy, nutty",rich,FALSE,FALSE,,,Fromagerie du Pied-De-Vent
Pigouille,https://www.cheese.com/pigouille/,sheep,France,Charentes,Blue,"soft, artisan",33.70%,509.6 mg/100g,"creamy, crumbly, grainy",mold ripened,ivory,"acidic, salty, sweet, tangy",barnyardy,,,,Pigouille des Charentes,
Pimento,https://www.cheese.com/pimento/,cow,United States,"Ann Arbor, Michigan",Blue,"soft, artisan",33.30%,574.7 mg/100g,"creamy, crumbly",rindless,brown,spicy,,FALSE,FALSE,,,Zingerman's Creamery
Point Reyes Bay Blue,https://www.cheese.com/point-reyes-bay-blue/,cow,United States,California,Blue,"soft, artisan",32.10%,536.6 mg/100g,"creamy, crumbly",natural,pale yellow,"buttery, caramel, creamy, salty, sweet","earthy, strong",,,,,Point Reyes Farmstead Cheese Co
Point Reyes Original Blue,https://www.cheese.com/point-reyes-original-blue/,cow,United States,California,Blue,"semi-soft, artisan, blue-veined",32.00%,538.1 mg/100g,"buttery, creamy",natural,white,"creamy, milky, strong, sweet","fresh, milky, strong",TRUE,FALSE,Original Blue,,Point Reyes Farmstead Cheese Co
Point Reyes Toma,https://www.cheese.com/point-reyes-toma/,cow,United States,California,Blue,"semi-hard, artisan",30.80%,567.3 mg/100g,"buttery, creamy",waxed,ivory,"buttery, creamy",buttery,TRUE,FALSE,,,Point Reyes Farmstead Cheese Co
Pompeii,https://www.cheese.com/pompeii/,cow,Australia,South Australia,Blue,"semi-hard, artisan, smear-ripened",30.70%,553.6 mg/100g,"crumbly, soft, supple",washed,cream,"herbaceous, sweet",herbal,TRUE,FALSE,,,Woodside Cheese Wrights
Port Nicholson,https://www.cheese.com/port-nicholson/,cow,New Zealand,,Blue,semi-soft,30.50%,550.0 mg/100g,"creamy, smooth",washed,orange,"sour, sweet",smokey,,,Kapiti Port Nicholson,,Kapiti Brands NZ Ltd
Pouligny-Saint-Pierre,https://www.cheese.com/pouligny-saint-pierre/,goat,France,Berry,Blue,soft,28.20%,525.4 mg/100g,"creamy, crumbly",natural,ivory,"acidic, sweet",goaty,FALSE,FALSE,,,
Processed Cheese,https://www.cheese.com/pasteurized-processed/,cow,,,Blue,"soft, processed",33.80%,523.1 mg/100g,"creamy, smooth, spreadable, springy",plastic,,,,FALSE,FALSE,"cheese spread, cheese food, singles",,Various
Providence,https://www.cheese.com/providence/,goat,United States,North Carolina,Blue,"semi-soft, artisan",33.90%,501.2 mg/100g,"compact, crumbly",washed,pale yellow,creamy,yeasty,FALSE,FALSE,,,Goat Lady Dairy
Pyramide,https://www.cheese.com/pyramide/,goat,France,Loire Valley,Blue,"soft, artisan",33.40%,531.2 mg/100g,crumbly,natural,ivory,,pungent,FALSE,FALSE,,,
Saint Agur,https://www.cheese.com/saint-agur/,cow,France,Auvergne,Blue,"soft, blue-veined",29.10%,562.7 mg/100g,"creamy, smooth, spreadable",,blue,"fruity, mellow, sharp",strong,FALSE,FALSE,,"Saint Agur Coupe, Saint Agur Crème",Savencia Fromage & Dairy
Saint Felicien,https://www.cheese.com/saint-felicien/,cow,France,,Blue,"soft, artisan",28.10%,531.1 mg/100g,creamy,,white,creamy,nutty,,,Saint Félicien,St Felicien,
Saint Marcellin,https://www.cheese.com/saint-marcellin/,cow,France,,Blue,"soft, artisan",33.60%,564.2 mg/100g,"creamy, smooth",,white,"mild, tangy",,FALSE,FALSE,,"St Marcellin, Saint-Marcellin",
Saint Rose,https://www.cheese.com/saint-rose/,sheep,United States,California,Blue,"semi-soft, artisan",29.50%,533.4 mg/100g,firm,natural,pale yellow,"citrusy, floral, nutty, sharp","grassy, mild",TRUE,FALSE,,St. Rose,Weirauch Farm and Creamery
Sainte-Maure de Touraine AOC,https://www.cheese.com/sainte-maure-de-touraine-aoc/,goat,France,Loire,Blue,"semi-soft, artisan",29.10%,529.3 mg/100g,"creamy, fluffy, soft",,white,,,FALSE,FALSE,,"Saint ​​Maure de Touraine, St ​​Maure de Touraine, Sainte Maure de Touraine",
Salemville Amish Blue,https://www.cheese.com/salemville-amish-blue/,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",28.80%,523.3 mg/100g,"creamy, crumbly",,ivory,"creamy, earthy","earthy, rich",,,Salemville Reserve,,"DCI Cheese Company, Inc"
Salemville Amish Gorgonzola,https://www.cheese.com/salemville-amish-gorgonzola/,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",33.70%,579.6 mg/100g,"creamy, crumbly",,ivory,"creamy, earthy, piquant","earthy, rich",,,,,"DCI Cheese Company, Inc"
Salemville Smokehaus Blue,https://www.cheese.com/salemville-smokehaus-blue/,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",32.30%,524.3 mg/100g,creamy,,ivory,"creamy, smokey","earthy, rich, smokey",,,,,"DCI Cheese Company, Inc"
San Geronimo,https://www.cheese.com/san-geronimo/,cow,United States,Nicasio,Blue,"semi-soft, brined",28.90%,599.6 mg/100g,smooth,washed,white,"acidic, meaty, mellow, mild, tangy, tart",earthy,FALSE,FALSE,,,Nicasio Valley Cheese Company
San Simón DOP,https://www.cheese.com/san-simon/,cow,Spain,Galicia,Blue,semi-soft,33.60%,596.1 mg/100g,"buttery, creamy",natural,cream,buttery,"smokey, woody",FALSE,FALSE,,,
Santa Gadea,https://www.cheese.com/santa-gadea/,goat,Spain,,Blue,"soft, semi-soft",32.80%,505.9 mg/100g,"creamy, smooth, soft",,white,,,,,,,
Sartori Classic Cheese Fontina,https://www.cheese.com/sartori-classic-cheese-fontina/,cow,United States,Wisconsin,Blue,"semi-soft, artisan",32.10%,562.2 mg/100g,creamy,natural,pale yellow,"creamy, nutty, smooth, sweet","aromatic, lactic",TRUE,FALSE,,,Sartori
Sartori Reserve Cheese Mediterranean Fontina,https://www.cheese.com/sartori-reserve-cheese-mediterranean-fontina/,cow,United States,Wisconsin,Blue,"semi-soft, artisan",30.10%,528.9 mg/100g,creamy,natural,cream,"garlicky, piquant, spicy, sweet","earthy, herbal",TRUE,FALSE,,,Sartori
Sartori Reserve Dolcina Gorgonzola,https://www.cheese.com/sartori-reserve-dolcina-gorgonzola/,cow,United States,Wisconsin,Blue,"semi-firm, blue-veined",31.80%,538.9 mg/100g,"creamy, soft",natural,ivory,"mild, smooth, sweet","rich, spicy",,,,,Sartori
Schloss,https://www.cheese.com/schloss/,cow,United States,,Blue,"semi-soft, brined",33.30%,535.4 mg/100g,"chalky, creamy, smooth",washed,straw,"citrusy, earthy, fruity, full-flavored, meaty, pungent","pungent, strong",FALSE,FALSE,,,Marin French Cheeese Co.
Sea Change,https://www.cheese.com/sea-change/,cow,United States,"Lebanon, CT",Blue,"semi-soft, artisan",30.60%,560.8 mg/100g,"elastic, smooth",natural,cream,"buttery, mild, milky","fruity, lactic, yeasty",,,,,The Mystic Cheese Company
Seator's Orkney,https://www.cheese.com/seators-orkney/,cow,"Great Britain, Scotland, United Kingdom",Orkney Islands,Blue,"hard, artisan",31.30%,510.8 mg/100g,crumbly,,cream,acidic,lactic,,,,,Grimbister Farm
Serra da Estrela DOP,https://www.cheese.com/serra-da-estrela-dop/,sheep,Portugal,Serra da Estrela,Blue,semi-soft,29.80%,555.6 mg/100g,,,ivory,,pungent,FALSE,FALSE,"Serra da Estrela, Queijo Serra da Estrela",,
Shaker Blue,https://www.cheese.com/shaker-blue/,sheep,United States,New York,Blue,"semi-firm, blue-veined",32.10%,514.1 mg/100g,creamy,rindless,ivory,"acidic, creamy, full-flavored, sweet","rich, sweet",TRUE,FALSE,Shaker Blue,,Old Chatham Sheepherding Company
Sharpham Savour,https://www.cheese.com/sharpham-savour/,"cow, goat","England, Great Britain, United Kingdom",Devon,Blue,"semi-hard, artisan",30.80%,575.6 mg/100g,"close, creamy, supple",natural,cream,"smooth, sweet",fresh,TRUE,FALSE,,,Sharpham Wine & Cheese
Shepherd's Hope,https://www.cheese.com/shepherds-hope/,sheep,United States,Minnesota,Blue,"fresh soft, artisan",30.20%,555.5 mg/100g,"creamy, firm, soft",rindless,white,"citrusy, garlicky, herbaceous, mild, milky","aromatic, fresh, herbal",TRUE,FALSE,,,Shepherd's Way Farms
Sinodun Hill,https://www.cheese.com/sinodun-hill/,goat,England,,Blue,soft,30.20%,541.6 mg/100g,fluffy,natural,pale yellow,creamy,clean,TRUE,FALSE,,,Norton & Yarrow Cheese
